"Report ID","Report Version","Reporting Entity","Report Type","Report Month","Report Year","Report Submission Date","VIN","VIN - Unknown","Serial Number","Make","Model","Model - Unknown","Model Year","Model Year - Unknown","Same Vehicle ID","Mileage","Mileage - Unknown","Driver / Operator Type","ADAS/ADS Version","ADAS/ADS Version - Unknown","ADAS/ADS Version CBI","ADS Equipped?","Automation System Engaged?","Operating Entity","Operating Entity - Unknown","Source - Complaint/Claim","Source - Telematics","Source - Law Enforcement","Source - Field Report","Source - Testing","Source - Media","Source - Other","Source - Other Text","Incident Date","Incident Date - Unknown","Notice Received Date","Incident Time (24:00)","Incident Time - Unknown","Same Incident ID","Latitude","Latitude  - Unknown","Longitude","Longitude - Unknown","Address","Address - Unknown","City","City - Unknown","State","Zip Code","Zip Code - Unknown","Roadway Type","Roadway Surface","Roadway Description","Posted Speed Limit (MPH)","Posted Speed Limit - Unknown","Lighting","Weather - Clear","Weather - Snow","Weather - Cloudy","Weather - Fog/Smoke","Weather - Rain","Weather - Severe Wind","Weather - Unknown","Weather - Other","Weather - Other Text","Crash With","Highest Injury Severity","Property Damage?","CP Pre-Crash Movement","CP Any Air Bags Deployed?","CP Was Vehicle Towed?","CP Contact Area - Rear Left","CP Contact Area - Left","CP Contact Area - Front Left","CP Contact Area - Rear","CP Contact Area - Top","CP Contact Area - Front","CP Contact Area - Rear Right","CP Contact Area - Right","CP Contact Area - Front Right","CP Contact Area - Bottom","CP Contact Area - Unknown","SV Pre-Crash Movement","SV Any Air Bags Deployed?","SV Was Vehicle Towed?","SV Were All Passengers Belted?","SV Precrash Speed (MPH)","SV Pre-crash Speed - Unknown","SV Contact Area - Rear Left","SV Contact Area - Left","SV Contact Area - Front Left","SV Contact Area - Rear","SV Contact Area - Top","SV Contact Area - Front","SV Contact Area - Rear Right","SV Contact Area - Right","SV Contact Area - Front Right","SV Contact Area - Bottom","SV Contact Area - Unknown","Data Availability - EDR","Data Availability - Police Rpt","Data Availability - Telematics","Data Availability - Complaints","Data Availability - Video","Data Availability - Other","Data Availability - No Data","Data Availability - Unknown","Law Enforcement Investigating?","Investigating Agency","Investigating Agency - Unknown","Rep Ent Or Mfr Investigating?","Investigating Officer Name","Inv. Officer Name - Unknown","Investigating Officer Phone","Inv. Officer Phone - Unknown","Investigating Officer Email","Inv. Officer Email - Unknown","Within ODD?","Within ODD? - CBI","Narrative","Narrative - CBI?"
"13781-2924","2","Tesla, Inc.","10-Day Update","","","MAY-2022","5YJYGDEE0MF"," ","N/A","Tesla","Model Y"," ","2021"," ","f5e8e0a815a0c86","10446"," ","Consumer","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]"," ","Y","No","ADAS",""," ","Y"," "," "," "," "," "," ","","MAY-2022"," ","MAY-2022","04:00"," ","11e581134e866ce","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Medford"," ","NY ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Highway / Freeway","Unknown","Unknown","55"," ","Dark - Not Lighted","Y"," "," "," "," "," "," "," ","","Other, see Narrative","No Injuries Reported","Yes","Unknown","Unknown","Unknown"," "," "," "," "," "," "," "," "," "," ","Y","Unknown","No","Yes","Unknown","","Y"," "," "," "," "," "," "," "," "," "," ","Y"," "," "," ","Y"," "," "," "," ","Unknown","","Y","Unknown","","Y","","Y","","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y"
"13781-2905","2","Tesla, Inc.","10-Day Update","","","MAY-2022","5YJ3E1EB2JF"," ","N/A","Tesla","Model 3"," ","2018"," ","db52ec67e98fe53","55436"," ","Consumer","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]"," ","Y","No","ADAS",""," "," ","Y"," "," "," "," "," ","","MAY-2022"," ","MAY-2022","16:46"," ","75dc823e0069657","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","New Salisbury"," ","IN ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Rural Road","Dry","No Unusual Conditions","55"," ","Daylight","Y"," "," "," "," "," "," "," ","","SUV","Unknown","Yes","Stopped","Unknown","Unknown","Y"," "," "," "," "," "," "," "," "," "," ","Proceeding Straight","Yes","Unknown","Unknown","26"," "," "," ","Y"," "," "," "," "," "," "," "," ","Y"," ","Y"," ","Y","Y"," "," ","Unknown","","Y","Unknown","","Y","","Y","","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y"
"13781-2917","2","Tesla, Inc.","10-Day Update","","","MAY-2022","5YJSA1H2XFF"," ","N/A","Tesla","Model S"," ","2015"," ","d6163dfe3a6b389","","Y","Unknown","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]"," ","Y","No","ADAS","","Y"," "," ","Y"," "," "," "," ","","MAY-2022"," ","MAY-2022","05:10"," ","682ace05c478304","","Y","","Y","","Y","Naples"," ","FL ","","Y","Unknown","Unknown","Unknown","","Y","Unknown"," "," "," "," "," "," ","Y"," ","","Unknown","Unknown","Yes","Unknown","Unknown","Unknown"," "," "," "," "," "," "," "," "," "," ","Y","Proceeding Straight","Yes","Unknown","Unknown","","Y"," "," "," "," "," "," "," "," "," "," ","Y","Y"," "," "," "," ","Y"," "," ","Yes","Florida Highway Patrol"," ","Unknown","","Y","","Y","","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y"
"13781-2883","2","Tesla, Inc.","10-Day Update","","","MAY-2022","5YJ3E1EB5JF"," ","N/A","Tesla","Model 3"," ","2018"," ","ee79bb479cee68d","80662"," ","Consumer","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]"," ","Y","No","ADAS",""," "," ","Y"," "," "," "," "," ","","MAY-2022"," ","MAY-2022","21:20"," ","c72ce6a7a0b9747","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Panama City Beach"," ","FL ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Highway / Freeway","Dry","No Unusual Conditions","55"," ","Daylight","Y"," "," "," "," "," "," "," ","","SUV","Unknown","Yes","Entering Traffic","Unknown","Unknown"," "," "," "," "," ","Y"," "," ","Y"," "," ","Proceeding Straight","Yes","Unknown","Unknown","46"," "," "," ","Y"," "," ","Y"," "," "," "," "," ","Y"," ","Y"," ","Y","Y"," "," ","Unknown","","Y","Unknown","","Y","","Y","","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y"
"13781-2880","2","Tesla, Inc.","10-Day Update","","","MAY-2022","5YJ3E1EC2LF"," ","N/A","Tesla","Model 3"," ","2020"," ","e118cf70da25e1e","32144"," ","Consumer","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]"," ","Y","No","ADAS",""," "," ","Y"," "," "," "," "," ","","MAY-2022"," ","MAY-2022","06:18"," ","4ee03d5ad586d03","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Los Angeles"," ","CA ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Street","Dry","No Unusual Conditions","45"," ","Dark - Lighted","Y"," "," "," "," "," "," "," ","","Heavy Truck","Unknown","Yes","Stopped","Unknown","Unknown","Y"," "," ","Y"," "," ","Y"," "," "," "," ","Proceeding Straight","Yes","Unknown","Unknown","24"," "," "," ","Y"," "," ","Y"," "," ","Y"," "," ","Y"," ","Y"," ","Y","Y"," "," ","Unknown","","Y","Unknown","","Y","","Y","","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y"
"13781-2877","2","Tesla, Inc.","10-Day Update","","","MAY-2022","5YJYGDEE0LF"," ","N/A","Tesla","Model Y"," ","2020"," ","d45e073c7d07490","52462"," ","Consumer","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]"," ","Y","No","ADAS",""," "," ","Y"," "," "," "," "," ","","MAY-2022"," ","MAY-2022","12:23"," ","8f441cad746bc6b","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Waukegan"," ","IL ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Highway / Freeway","Unknown","Unknown","70"," ","Unknown"," "," "," "," "," "," ","Y"," ","","Unknown","Unknown","Yes","Unknown","Unknown","Unknown"," "," "," "," "," "," "," "," "," "," ","Y","Proceeding Straight","Yes","Unknown","Unknown","62"," "," "," "," "," "," "," "," "," "," "," ","Y","Y"," "," "," "," ","Y"," "," ","Unknown","","Y","Unknown","","Y","","Y","","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y"
"13781-2874","2","Tesla, Inc.","10-Day Update","","","MAY-2022","5YJYGDEF9MF"," ","N/A","Tesla","Model Y"," ","2021"," ","249a4f804019166","6922"," ","Consumer","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]"," ","Y","No","ADAS",""," "," ","Y"," "," "," "," "," ","","MAY-2022"," ","MAY-2022","22:39"," ","7aa07663aa5649b","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Salinas"," ","CA ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Highway / Freeway","Dry","No Unusual Conditions","65"," ","Daylight","Y"," "," "," "," "," "," "," ","","Passenger Car","Unknown","Yes","Crossing into Opposing Lane","Unknown","Unknown"," "," ","Y"," "," ","Y"," "," "," "," "," ","Proceeding Straight","Yes","Unknown","Unknown","","Y","Y"," "," "," "," "," "," "," "," "," "," ","Y"," ","Y"," ","Y","Y"," "," ","Unknown","","Y","Unknown","","Y","","Y","","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y"
"13781-2878","2","Tesla, Inc.","10-Day Update","","","MAY-2022","7SAYGDEE3NF"," ","N/A","Tesla","Model Y"," ","2022"," ","ecd091244a41aa7","5675"," ","Consumer","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]"," ","Y","No","ADAS",""," "," ","Y"," "," "," "," "," ","","MAY-2022"," ","MAY-2022","02:03"," ","3e49601295089a9","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","West Covina"," ","CA ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Highway / Freeway","Dry","No Unusual Conditions","65"," ","Daylight","Y"," "," "," "," "," "," "," ","","Passenger Car","Unknown","Yes","Proceeding Straight","Unknown","Unknown"," "," "," "," "," "," "," "," ","Y"," "," ","Proceeding Straight","Yes","Unknown","Unknown","61"," ","Y"," "," "," "," "," "," "," "," "," "," ","Y"," ","Y"," ","Y","Y"," "," ","Unknown","","Y","Unknown","","Y","","Y","","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y"
"13781-2873","2","Tesla, Inc.","10-Day Update","","","MAY-2022","5YJYGAEE4MF"," ","N/A","Tesla","Model Y"," ","2021"," ","f1fc1b33b9364d3","22027"," ","Consumer","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]"," ","Y","No","ADAS",""," "," ","Y"," "," "," "," "," ","","MAY-2022"," ","MAY-2022","18:44"," ","f5f3a134e670e0d","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Columbus"," ","OH ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Highway / Freeway","Dry","No Unusual Conditions","65"," ","Daylight","Y"," "," "," "," "," "," "," ","","Other Fixed Object","Unknown","Yes","","",""," "," "," "," "," "," "," "," "," "," "," ","Proceeding Straight","Yes","Unknown","Unknown","49"," "," "," ","Y"," "," "," "," "," "," "," "," ","Y"," ","Y"," ","Y","Y"," "," ","Unknown","","Y","Unknown","","Y","","Y","","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y"
"13781-2879","2","Tesla, Inc.","10-Day Update","","","MAY-2022","5YJYGDEEXMF"," ","N/A","Tesla","Model Y"," ","2021"," ","dc46b5f84dca866","33291"," ","Consumer","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]"," ","Y","No","ADAS",""," "," ","Y"," "," "," "," "," ","","MAY-2022"," ","MAY-2022","13:55"," ","3dbbf1c6fa9ce8d","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Huber Heights"," ","OH ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Highway / Freeway","Dry","No Unusual Conditions","65"," ","Daylight","Y"," "," "," "," "," "," "," ","","Other Fixed Object","Unknown","Yes","","",""," "," "," "," "," "," "," "," "," "," "," ","Changing Lanes","Yes","Unknown","Unknown","62"," "," "," ","Y"," "," "," "," "," "," "," "," ","Y"," ","Y"," ","Y","Y"," "," ","Unknown","","Y","Unknown","","Y","","Y","","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y"
