"Report ID","Report Version","Reporting Entity","Report Type","Report Month","Report Year","Report Submission Date","VIN","VIN - Unknown","Serial Number","Make","Model","Model - Unknown","Model Year","Model Year - Unknown","Same Vehicle ID","Mileage","Mileage - Unknown","Driver / Operator Type","ADAS/ADS Version","ADAS/ADS Version - Unknown","ADAS/ADS Version CBI","ADS Equipped?","Automation System Engaged?","Operating Entity","Operating Entity - Unknown","Source - Complaint/Claim","Source - Telematics","Source - Law Enforcement","Source - Field Report","Source - Testing","Source - Media","Source - Other","Source - Other Text","Incident Date","Incident Date - Unknown","Notice Received Date","Incident Time (24:00)","Incident Time - Unknown","Same Incident ID","Latitude","Latitude  - Unknown","Longitude","Longitude - Unknown","Address","Address - Unknown","City","City - Unknown","State","Zip Code","Zip Code - Unknown","Roadway Type","Roadway Surface","Roadway Description","Posted Speed Limit (MPH)","Posted Speed Limit - Unknown","Lighting","Weather - Clear","Weather - Snow","Weather - Cloudy","Weather - Fog/Smoke","Weather - Rain","Weather - Severe Wind","Weather - Unknown","Weather - Other","Weather - Other Text","Crash With","Highest Injury Severity","Property Damage?","CP Pre-Crash Movement","CP Any Air Bags Deployed?","CP Was Vehicle Towed?","CP Contact Area - Rear Left","CP Contact Area - Left","CP Contact Area - Front Left","CP Contact Area - Rear","CP Contact Area - Top","CP Contact Area - Front","CP Contact Area - Rear Right","CP Contact Area - Right","CP Contact Area - Front Right","CP Contact Area - Bottom","CP Contact Area - Unknown","SV Pre-Crash Movement","SV Any Air Bags Deployed?","SV Was Vehicle Towed?","SV Were All Passengers Belted?","SV Precrash Speed (MPH)","SV Pre-crash Speed - Unknown","SV Contact Area - Rear Left","SV Contact Area - Left","SV Contact Area - Front Left","SV Contact Area - Rear","SV Contact Area - Top","SV Contact Area - Front","SV Contact Area - Rear Right","SV Contact Area - Right","SV Contact Area - Front Right","SV Contact Area - Bottom","SV Contact Area - Unknown","Data Availability - EDR","Data Availability - Police Rpt","Data Availability - Telematics","Data Availability - Complaints","Data Availability - Video","Data Availability - Other","Data Availability - No Data","Data Availability - Unknown","Law Enforcement Investigating?","Investigating Agency","Investigating Agency - Unknown","Rep Ent Or Mfr Investigating?","Investigating Officer Name","Inv. Officer Name - Unknown","Investigating Officer Phone","Inv. Officer Phone - Unknown","Investigating Officer Email","Inv. Officer Email - Unknown","Within ODD?","Within ODD? - CBI","Narrative","Narrative - CBI?"
"30711-2862","1","Pony.ai","Monthly","5","2022","MAY-2022","KM8K23AG5LU"," ","N/A","Hyundai","Kona EV"," ","2020"," ","47e9d5989e5a912","18430"," ","In-Vehicle (Commercial / Test)","L4"," "," ","Yes","ADS","Pony.ai"," "," "," "," ","Y"," "," "," ","","APR-2022"," ","APR-2022","9:00"," ","e02ac2db7471ebc","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Miliptas"," ","CA ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Parking Lot","Wet","No Unusual Conditions","","Y","Daylight"," "," ","Y"," ","Y"," "," "," ","","Passenger Car","No Injuries Reported","Yes","Backing","No","No"," "," "," ","Y"," "," "," "," "," "," "," ","Stopped","No","No","Yes","0"," "," ","Y"," "," "," "," "," "," "," "," "," "," "," ","Y"," ","Y"," "," "," ","No",""," ","Yes",""," ",""," ",""," ","Yes"," ","On April [XXX], 2022, while operating in autonomous mode with a safety operator in the driver's seat, a Pony.ai Autonomous Vehicle was parked in a parking lot when a passenger vehicle reversed into the Pony.ai vehicle. The Pony.ai vehicle sustained minor damage to the driver's side rear door. There were no injuries, the police were not called to the scene, and the Pony.ai vehicle was driven back to Pony.ai's Fremont facility."," "
"30370-2949","1","TuSimple","Monthly","4","2022","MAY-2022","3HSDZAPR6MN"," ","N/A","INTERNATIONAL","LT 625"," ","2021"," ","19fed228241ac11","78762"," ","In-Vehicle (Commercial / Test)","Test Version 04062022"," "," ","Yes","Unknown, see Narrative","TuSimple"," "," "," "," "," "," "," ","Y","Self identified","APR-2022"," ","APR-2022","15:52"," ","59d489f93e681d4","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Tucson"," ","AZ ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Highway / Freeway","Dry","No Unusual Conditions","65"," ","Daylight","Y"," "," "," "," "," "," "," ","","Other Fixed Object","No Injuries Reported","Yes","","",""," "," "," "," "," "," "," "," "," "," "," ","Proceeding Straight","No","No","Yes","65"," "," "," ","Y"," "," "," "," "," "," "," "," "," "," "," "," ","Y","Y"," "," ","No",""," ","No",""," ",""," ",""," ","Yes"," ","TuSimple's position is that this event does not meet the criteria for reporting under the SGO.
Specifically, the L4 ADS was not in operation at any point in the 30 seconds prior to making contact with the concrete barrier.  
 
The event occurred as follows:
As the truck was being operated on the highway, within its mapped ODD, the driver and test engineer attempted to engage the ADS.  However, the ADS was not functional at that moment due to the computer unit not having been initialized, and should not have been attempted to be activated.  In short, this was a failed attempt to engage the system as a result of human error.  
 
The system has now been modified to prevent the ADS from attempting to engage unless the health of the system is fully functional to prevent human error from repeating this event.
 
When the erroneous attempt to engage occurred, the uninitialized vehicle control unit rotated the steering to the left, causing the truck to veer left.  The safety driver took control of the steering, and was able to steer accordingly, but not before the left front truck tire and left front quarter panel came into contact with the concrete barrier to the left of the lanes of travel.  
 
The contact resulted in a scuff to the left tire and damage to the radar unit extending from the left quarter panel."," "
"540-2926","1","General Motors, LLC","Monthly","4","2022","MAY-2022","5G21A6P0XL4"," ","N/A","Cruise","AV"," ","2020"," ","80d271b9f0d3d5c","38937"," ","Remote (Commercial / Test)","","Y"," ","Yes","ADS","Cruise LLC"," "," ","Y"," ","Y"," "," "," ","","APR-2022"," ","APR-2022","23:21"," ","bfe1f6e953a7063","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","San Francisco"," ","CA ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Street","Dry","No Unusual Conditions","25"," ","Dark - Lighted","Y"," "," "," "," "," "," "," ","","Passenger Car","No Injuries Reported","Yes","Changing Lanes","No","No"," "," "," "," "," "," "," ","Y","Y"," "," ","Proceeding Straight","No","No","No Passengers in Vehicle","22"," "," ","Y"," "," "," "," "," "," "," "," "," ","Y","Y","Y"," ","Y","Y"," "," ","Yes","San Francisco Police Department"," ","Yes","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","","Y","","Y","Unknown, see Narrative"," ","On May [XXX], 2022 GM Cruise Holdings LLC (""Cruise"") filed an Incident Report (the ""Report"") under the Standing General Order 2021-01 dated June 29, 2021 (the ""Order"").General Motors LLC (GM) manufactured the Cruise-operated motor vehicle involved in the incident summarized in the Incident Report. Because GM is also a Reporting Entity under the Order, GM is submitting a duplicate of the redacted public copy of the Report. GM has selected ""Unknown"" in the ""ADS version"" and ""ODD time"" fields solely to avoid a second submission of nonpublic Cruise CBI GM is in possession of Cruise's responses to these fields, and incorporates Cruise's responses into this submission by reference. GM's submission is based on facts supplied to GM by Cruise. GM has not investigated the alleged incident and currently believes, based on a reasonable inquiry, that it has no independent knowledge of the facts in the Report. (Reference file: 30412-2886-1)"," "
"540-2927","1","General Motors, LLC","Monthly","4","2022","MAY-2022","5G21A6P02N4"," ","N/A","Cruise","AV"," ","2022"," ","e380a71d5a2e209","2561"," ","In-Vehicle and Remote (Commercial / Test)","","Y"," ","Yes","ADS","Cruise LLC"," "," ","Y"," ","Y"," "," "," ","","APR-2022"," ","APR-2022","00:13"," ","7b3835d9afdf5e9","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","San Francisco"," ","CA ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Street","Dry","No Unusual Conditions","25"," ","Dark - Lighted","Y"," "," "," "," "," "," "," ","","Passenger Car","No Injuries Reported","Yes","Proceeding Straight","No","No"," "," ","Y"," "," ","Y"," "," ","Y"," "," ","Other, see Narrative","No","No","Yes","1"," ","Y"," "," ","Y"," "," ","Y"," "," "," "," ","Y","Y","Y"," ","Y","Y"," "," ","Yes","San Francisco Police Department"," ","Yes","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","","Y","","Y","Unknown, see Narrative"," ","On May [XXX], 2022 GM Cruise Holdings LLC (""Cruise"") filed an Incident Report (the ""Report"") under the Standing General Order 2021-01 dated June 29, 2021 (the ""Order""). General Motors LLC (GM) manufactured the Cruise-operated motor vehicle involved in the incident summarized in the Incident Report. Because GM is also a Reporting Entity under the Order, GM is submitting a duplicate of the redacted public copy of the Report. GM has selected ""Unknown"" in the ""ADS version"" and ""ODD time"" fields solely to avoid a second submission of nonpublic Cruise CBI GM is in possession of Cruise's responses to these fields, and incorporates Cruise's responses into this submission by reference. GM's submission is based on facts supplied to GM by Cruise. GM has not investigated the alleged incident and currently believes, based on a reasonable inquiry, that it has no independent knowledge of the facts in the Report. (Reference file: 30412-2887-1)"," "
"540-2928","1","General Motors, LLC","Monthly","4","2022","MAY-2022","5G21A6P05L4"," ","N/A","Cruise","AV"," ","2020"," ","4ede896caa0dd6e","36078"," ","Remote (Commercial / Test)","","Y"," ","Yes","ADS","Cruise LLC"," "," ","Y"," ","Y"," "," "," ","","APR-2022"," ","APR-2022","03:35"," ","2d91b0082b762ab","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","San Francisco"," ","CA ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Street","Dry","No Unusual Conditions","25"," ","Dark - Lighted","Y"," "," "," "," "," "," "," ","","Passenger Car","Unknown","Yes","Proceeding Straight","No","No"," "," "," "," "," ","Y"," "," ","Y"," "," ","Other, see Narrative","No","No","No Passengers in Vehicle","2"," ","Y"," "," ","Y"," "," "," "," "," "," "," ","Y","Y","Y"," ","Y","Y"," "," ","Yes","San Francisco Police Department"," ","Yes","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","","Y","","Y","Unknown, see Narrative"," ","On May [XXX], 2022 GM Cruise Holdings LLC (""Cruise"") filed an Incident Report (the ""Report"") under the Standing General Order 2021-01 dated June 29, 2021 (the ""Order""). General Motors LLC (GM) manufactured the Cruise-operated motor vehicle involved in the incident summarized in the Incident Report. Because GM is also a Reporting Entity under the Order, GM is submitting a duplicate of the redacted public copy of the Report. GM has selected ""Unknown"" in the ""ADS version"" and ""ODD time"" fields solely to avoid a second submission of nonpublic Cruise CBI GM is in possession of Cruise's responses to these fields, and incorporates Cruise's responses into this submission by reference. GM's submission is based on facts supplied to GM by Cruise. GM has not investigated the alleged incident and currently believes, based on a reasonable inquiry, that it has no independent knowledge of the facts in the Report. (Reference file: 30412-2888-1)"," "
"540-2907","1","General Motors, LLC","Monthly","4","2022","MAY-2022","5G21A6P01L4"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]","Cruise","AV"," ","2020"," ","4306ea5c865ff73","39165"," ","Remote (Commercial / Test)","","Y"," ","Yes","ADS","Cruise LLC"," "," ","Y"," ","Y"," "," "," ","","APR-2022"," ","APR-2022","00:43"," ","a773c7629437fd1","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","San Francisco"," ","CA ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Intersection","Dry","No Unusual Conditions","25"," ","Dark - Lighted","Y"," "," "," "," "," "," "," ","","SUV","No Injuries Reported","Yes","Making Left Turn","No","No","Y","Y"," "," "," "," "," "," "," "," "," ","Proceeding Straight","No","No","No Passengers in Vehicle","5"," "," "," "," "," "," "," "," ","Y","Y"," "," ","Y","Y","Y"," ","Y","Y"," "," ","Yes","San Francisco Police Department"," ","Yes","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","","Y","","Y","Unknown, see Narrative"," ","On May [XXX], 2022 GM Cruise Holdings LLC (""Cruise"") filed an Incident Report (the ""Report"") under the Standing General Order 2021-01 dated June 29, 2021 (the ""Order"").General Motors LLC (GM) manufactured the Cruise-operated motor vehicle involved in the incident summarized in the Incident Report. Because GM is also a Reporting Entity under the Order, GM is submitting a duplicate of the redacted public copy of the Report. GM has selected ""Unknown"" in the ""ADS version"" and ""ODD time"" fields solely to avoid a second submission of nonpublic Cruise CBI GM is in possession of Cruise's responses to these fields, and incorporates Cruise's responses into this submission by reference. GM's submission is based on facts supplied to GM by Cruise. GM has not investigated the alleged incident and currently believes, based on a reasonable inquiry, that it has no independent knowledge of the facts in the Report. (Reference file: 30412-2884-1)"," "
"540-2925","1","General Motors, LLC","Monthly","4","2022","MAY-2022","5G21A6P03L4"," ","N/A","Cruise","AV"," ","2020"," ","32757d7928fd658","42620"," ","Remote (Commercial / Test)","","Y"," ","Yes","ADS","Cruise LLC"," "," ","Y"," ","Y"," "," "," ","","APR-2022"," ","APR-2022","01:55"," ","059363eb92eeb8d","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","San Francisco"," ","CA ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Intersection","Dry","Work Zone","25"," ","Dark - Lighted","Y"," "," "," "," "," "," "," ","","Passenger Car","No Injuries Reported","Yes","Making Right Turn","No","No"," "," "," "," "," ","Y"," "," "," "," "," ","Other, see Narrative","No","No","No Passengers in Vehicle","0"," "," "," "," "," "," "," ","Y"," "," "," "," ","Y","Y","Y"," ","Y","Y"," "," ","Yes","San Francisco Police Department"," ","Yes","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","","Y","","Y","Unknown, see Narrative"," ","On May [XXX], 2022 GM Cruise Holdings LLC (""Cruise"") filed an Incident Report (the ""Report"") under the Standing General Order 2021-01 dated June 29, 2021 (the ""Order""). General Motors LLC (GM) manufactured the Cruise-operated motor vehicle involved in the incident summarized in the Incident Report. Because GM is also a Reporting Entity under the Order, GM is submitting a duplicate of the redacted public copy of the Report. GM has selected ""Unknown"" in the ""ADS version"" and ""ODD time"" fields solely to avoid a second submission of nonpublic Cruise CBI GM is in possession of Cruise's responses to these fields, and incorporates Cruise's responses into this submission by reference. GM's submission is based on facts supplied to GM by Cruise. GM has not investigated the alleged incident and currently believes, based on a reasonable inquiry, that it has no independent knowledge of the facts in the Report. (Reference file: 30412-2885-1)"," "
"10003-2932","1","Navistar, Inc.","Monthly","5","2022","MAY-2022","3HSDZAPR9NN"," ","N/A","International","LT"," ","2022"," ","6b21a70177dcc64","56429"," ","Consumer","Bendix Lane Keep assist"," "," ","Yes","Unknown, see Narrative",""," "," "," "," "," "," "," ","Y","Western Express","NOV-2021"," ","APR-2022","19:57"," ","d7397a577eefe45","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Maxatawny Township"," ","PA ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Street","Dry","No Unusual Conditions","25"," ","Dark - Not Lighted"," "," "," "," "," "," ","Y"," ","","Other Fixed Object","Unknown","Yes","","",""," "," "," "," "," "," "," "," "," "," "," ","Proceeding Straight","No","Yes","Yes","","Y"," "," "," "," "," ","Y"," "," "," "," "," "," "," "," "," "," "," "," ","Y","Yes","PA State Police"," ","Yes","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","","Y","","Y","Unknown, see Narrative"," ","This vehicle is equipped with Lane Keep Assist feature. The posted speed limit the subject vehicle was operating at time of incident is 25 MPH and the Lane Keep Assist Feature cannot be activated at speeds below 37 MPH. This crash occurred as unit 1 was going North on [XXX] ([XXX].) in [XXX, XXX]. Unit 1 then went off the right side of the roadway and struck a house. Unit 1 was towed from the scene. Operator 1 and homeowner were transported to nearby local hospital to be treated for minor injuries."," "
"30412-2888","1","Cruise LLC","Monthly","4","2022","MAY-2022","5G21A6P05L4"," ","N/A","Cruise","AV"," ","2020"," ","4ede896caa0dd6e","36078"," ","Remote (Commercial / Test)","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]"," ","Y","Yes","ADS","Cruise LLC"," "," ","Y"," ","Y"," "," "," ","","APR-2022"," ","APR-2022","03:35"," ","2d91b0082b762ab","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","San Francisco"," ","CA ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Street","Dry","No Unusual Conditions","25"," ","Dark - Lighted","Y"," "," "," "," "," "," "," ","","Passenger Car","No Injuries Reported","Yes","Proceeding Straight","No","No"," "," "," "," "," ","Y"," "," ","Y"," "," ","Other, see Narrative","No","No","No Passengers in Vehicle","2"," ","Y"," "," ","Y"," "," "," "," "," "," "," ","Y","Y","Y"," ","Y","Y"," "," ","Yes","San Francisco Police Department"," ","Yes","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","","Y","","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y"
"30412-2887","1","Cruise LLC","Monthly","4","2022","MAY-2022","5G21A6P02N4"," ","N/A","Cruise","AV"," ","2022"," ","e380a71d5a2e209","2561"," ","In-Vehicle and Remote (Commercial / Test)","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]"," ","Y","Yes","ADS","Cruise LLC"," "," ","Y"," ","Y","Y"," "," ","","APR-2022"," ","APR-2022","00:13"," ","7b3835d9afdf5e9","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","San Francisco"," ","CA ","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","Street","Dry","No Unusual Conditions","25"," ","Dark - Lighted","Y"," "," "," "," "," "," "," ","","Passenger Car","No Injuries Reported","Yes","Proceeding Straight","No","No"," "," ","Y"," "," ","Y"," "," ","Y"," "," ","Other, see Narrative","No","No","Yes","1"," ","Y"," "," ","Y"," "," ","Y"," "," "," "," ","Y","Y","Y"," ","Y","Y"," "," ","Yes","San Francisco Police Department"," ","Yes","[MAY CONTAIN PERSONALLY IDENTIFIABLE INFORMATION]"," ","","Y","","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y","[REDACTED, MAY CONTAIN CONFIDENTIAL BUSINESS INFORMATION]","Y"
